Date,Open,High,Low,Close,Volume,Adj Close
2007-03-30 00:00:00,101.25,101.93,100.33,101.05,3384500,100.06
2007-03-29 00:00:00,101.75,101.95,100.43,101.24,5477400,100.24
2007-03-28 00:00:00,101.75,101.88,100.54,101.17,5541600,100.18
2007-03-27 00:00:00,103.0,103.2,101.92,102.48,2042600,101.47
2007-03-26 00:00:00,103.48,104.18,102.06,103.5,1841800,102.48
2007-03-23 00:00:00,103.24,103.89,102.99,103.71,1983600,102.69
2007-03-22 00:00:00,103.28,103.57,102.63,103.28,2006800,102.26
2007-03-21 00:00:00,101.75,103.65,101.48,103.41,2428500,102.39
2007-03-20 00:00:00,100.65,101.86,100.6,101.68,3520800,100.68
2007-03-19 00:00:00,100.21,100.93,100.19,100.68,2239200,99.69
2007-03-16 00:00:00,99.96,100.62,99.58,99.78,3748600,98.79
2007-03-15 00:00:00,99.03,100.26,98.95,99.97,2606100,98.98
2007-03-14 00:00:00,99.25,99.43,96.71,99.1,11423500,98.12
2007-03-13 00:00:00,100.68,101.08,98.83,99.13,8834500,98.07
2007-03-12 00:00:00,101.19,101.53,100.95,101.13,2769800,100.04
2007-03-09 00:00:00,102.2,102.42,100.85,101.42,3866900,100.32
2007-03-08 00:00:00,101.8,102.43,101.43,101.73,2641300,100.63
2007-03-07 00:00:00,100.86,101.4,100.46,100.93,2057300,99.84
2007-03-06 00:00:00,100.45,101.45,99.9,100.94,4995800,99.85
2007-03-05 00:00:00,100.08,101.38,99.7,99.75,4994700,98.58
2007-03-02 00:00:00,100.96,101.94,100.76,100.92,3530700,99.74
2007-03-01 00:00:00,101.76,101.97,99.5,101.42,3605100,100.23
2007-02-28 00:00:00,101.89,102.68,101.27,102.09,4877800,100.89
2007-02-27 00:00:00,103.87,104.04,100.76,101.71,4193400,100.52
2007-02-26 00:00:00,105.6,105.67,104.28,105.0,2002100,103.76
2007-02-23 00:00:00,105.75,106.21,105.05,105.43,4074900,104.18
2007-02-22 00:00:00,105.9,106.13,104.85,105.5,2668600,104.25
2007-02-21 00:00:00,106.2,106.54,105.78,106.08,2194900,104.82
2007-02-20 00:00:00,105.31,106.72,104.79,106.58,2634600,105.32
2007-02-16 00:00:00,105.17,105.31,104.66,105.14,2102200,103.89
2007-02-15 00:00:00,104.64,105.58,104.3,105.49,1954700,104.24
2007-02-14 00:00:00,104.32,104.9,104.05,104.61,2041100,103.35
2007-02-13 00:00:00,103.76,104.52,103.69,104.42,1903000,103.15
2007-02-12 00:00:00,104.14,104.35,103.66,103.78,1725400,102.51
2007-02-09 00:00:00,104.6,104.95,103.52,103.75,2790000,102.47
2007-02-08 00:00:00,104.61,104.9,104.18,104.46,2203300,103.17
2007-02-07 00:00:00,104.23,104.84,104.05,104.6,1080500,103.31
2007-02-06 00:00:00,104.0,104.59,104.0,104.44,1094800,103.15
2007-02-05 00:00:00,104.08,104.44,103.7,103.92,1117200,102.63
2007-02-02 00:00:00,104.05,104.38,103.7,104.08,1485600,102.79
2007-02-01 00:00:00,103.57,104.43,103.41,104.18,3300400,102.89
2007-01-31 00:00:00,101.64,103.68,101.57,103.35,4287100,102.07
2007-01-30 00:00:00,102.24,102.62,101.49,101.9,4860900,100.63
2007-01-29 00:00:00,101.88,102.29,101.52,101.87,1937900,100.6
2007-01-26 00:00:00,102.03,102.03,101.09,101.62,1742000,100.36
2007-01-25 00:00:00,103.27,103.35,101.74,101.88,2544700,100.61
2007-01-24 00:00:00,102.41,103.44,102.4,103.25,1772100,101.97
2007-01-23 00:00:00,102.45,103.02,101.78,102.38,3399500,101.11
2007-01-22 00:00:00,103.2,103.35,101.9,102.32,2843300,101.05
2007-01-19 00:00:00,103.0,103.28,102.75,103.27,2388600,101.99
2007-01-18 00:00:00,102.2,103.16,101.89,102.87,3728200,101.59
2007-01-17 00:00:00,102.05,102.46,101.76,101.96,1685200,100.69
2007-01-16 00:00:00,101.85,102.36,101.81,102.19,1123000,100.9
2007-01-12 00:00:00,101.55,102.15,101.16,102.03,2185200,100.74
2007-01-11 00:00:00,100.49,101.78,100.4,101.66,3460100,100.38
2007-01-10 00:00:00,99.71,100.5,99.35,100.49,1738800,99.22
2007-01-09 00:00:00,99.68,100.45,99.54,100.05,2189200,98.79
2007-01-08 00:00:00,99.27,99.57,98.62,99.44,4175600,98.18
2007-01-05 00:00:00,100.55,100.77,99.28,99.38,2974500,98.13
2007-01-04 00:00:00,100.0,100.88,99.73,100.65,3012600,99.38
2007-01-03 00:00:00,100.4,101.76,99.88,100.47,6438400,99.2
2006-12-29 00:00:00,99.55,100.28,99.18,99.35,1312100,98.1
2006-12-28 00:00:00,99.91,100.03,99.44,99.44,1169700,98.17
2006-12-27 00:00:00,99.37,99.95,98.96,99.91,3142800,98.63
2006-12-26 00:00:00,98.77,99.2,98.35,99.17,2076800,97.89
2006-12-22 00:00:00,99.27,99.5,98.84,99.2,1132700,97.92
2006-12-21 00:00:00,99.15,99.38,98.76,98.92,1648700,97.64
2006-12-20 00:00:00,99.8,99.93,98.93,98.94,1954800,97.66
2006-12-19 00:00:00,99.45,100.11,98.99,99.66,3523800,98.38
2006-12-18 00:00:00,100.89,100.9,99.92,100.27,2203900,98.98
2006-12-15 00:00:00,101.11,101.62,100.22,100.43,2234800,99.14
2006-12-14 00:00:00,99.3,100.97,99.13,100.84,6564200,99.54
2006-12-13 00:00:00,99.13,99.25,98.33,98.77,2473500,97.5
2006-12-12 00:00:00,98.45,99.27,97.96,98.48,2302200,97.14
2006-12-11 00:00:00,99.13,99.41,98.71,99.24,1715700,97.89
2006-12-08 00:00:00,99.0,99.83,98.83,99.23,1498600,97.88
2006-12-07 00:00:00,100.32,100.38,98.9,98.9,3801600,97.55
2006-12-06 00:00:00,99.6,100.44,99.59,100.05,1889200,98.68
2006-12-05 00:00:00,99.0,99.98,98.92,99.79,3549000,98.43
2006-12-04 00:00:00,97.45,99.21,97.36,98.82,3442700,97.47
2006-12-01 00:00:00,97.65,98.77,96.57,97.4,7161800,96.07
2006-11-30 00:00:00,97.46,98.03,96.47,97.58,4401400,96.25
2006-11-29 00:00:00,97.55,98.24,97.31,97.72,1670200,96.39
2006-11-28 00:00:00,97.0,97.3,96.56,97.02,1877300,95.69
2006-11-27 00:00:00,98.85,99.07,97.1,97.25,4268600,95.81
2006-11-24 00:00:00,98.75,99.12,98.5,98.55,795200,97.09
2006-11-22 00:00:00,99.23,99.7,98.67,99.26,1693300,97.79
2006-11-21 00:00:00,99.41,99.41,98.94,98.99,1011500,97.53
2006-11-20 00:00:00,99.16,99.98,98.98,99.29,1944300,97.82
